Date,Open,High,Low,Close,Adj Close,Volume
1993-11-19,1.178571,1.196428,1.160714,1.178571,1.116597,30741200
1993-11-22,1.160714,1.178571,1.151785,1.160714,1.099679,37651600
1993-11-23,1.178571,1.178571,1.116071,1.178571,1.116597,46541600
1993-11-24,1.178571,1.196428,1.165185,1.178571,1.116597,22610000
1993-11-26,1.165185,1.178571,1.151785,1.165185,1.103915,10861200
1993-11-29,1.133928,1.160714,1.125000,1.133928,1.074301,24178000
1993-11-30,1.125000,1.165185,1.125000,1.125000,1.065843,28165200
1993-12-01,1.125000,1.151785,1.116071,1.125000,1.065843,27804000
1993-12-02,1.133928,1.142857,1.107142,1.133928,1.074301,25163600
1993-12-03,1.125000,1.142857,1.107142,1.125000,1.065843,30116800
1993-12-06,1.151785,1.160714,1.116071,1.151785,1.091219,39244800
1993-12-07,1.151785,1.151785,1.125000,1.151785,1.091219,15962800
1993-12-08,1.138400,1.151785,1.125000,1.138400,1.078538,9898000
1993-12-09,1.071428,1.142857,1.062500,1.071428,1.015088,45690400
1993-12-10,1.008928,1.089285,0.991071,1.008928,0.955874,124314400
1993-12-13,1.053571,1.053571,0.991071,1.053571,0.998170,61082000
1993-12-14,1.040185,1.062500,1.035714,1.040185,0.985488,73416000
1993-12-15,1.062500,1.062500,1.035714,1.062500,1.006629,30970800
1993-12-16,1.049114,1.062500,1.035714,1.049114,0.993947,31592400
1993-12-17,1.053571,1.062500,1.040185,1.053571,0.998170,36288000
1993-12-20,1.017857,1.062500,1.008928,1.017857,0.964334,47258400
1993-12-21,0.982142,1.026785,0.973214,0.982142,0.930497,62781600
1993-12-22,1.000000,1.017857,0.964285,1.000000,0.947416,45343200
1993-12-23,0.973214,0.973214,0.946428,0.973214,0.922038,56739200
1993-12-27,1.017857,1.026785,0.973214,1.017857,0.964334,39984000
1993-12-28,1.040185,1.053571,1.017857,1.040185,0.985488,39874800
1993-12-29,1.017857,1.044642,1.017857,1.017857,0.964334,26838000
1993-12-30,1.062500,1.080357,1.017857,1.062500,1.006629,78638000
1993-12-31,1.044642,1.080357,1.044642,1.044642,0.989710,40241600
1994-01-03,1.066971,1.071428,1.035714,1.066971,1.010865,45382400
1994-01-04,1.125000,1.125000,1.071428,1.125000,1.065843,71293600
1994-01-05,1.205357,1.209828,1.133928,1.205357,1.141974,153034000
1994-01-06,1.169642,1.214285,1.160714,1.169642,1.108137,91627200
1994-01-07,1.183042,1.187500,1.116071,1.183042,1.120833,74698400
